id,seller_id,material,qty_kg,density_gcm,rate_g
234,442,Opal,1152.0,1.416,1641.753
235,212,Leather,196.8,0.979,1418.973
236,267,Silver,904.3,1.795,277.873
237,285,Ceramic,325.3,2.837,864.222
238,424,Bronze,733.1,0.754,2242.96
239,412,Zinc,108.9,0.471,572.863
240,13,Ceramic,584.4,3.287,440.396
241,374,Fabric,1109.7,1.317,1614.89
242,344,Rubber,574.5,0.343,863.785
243,262,Topaz,75.2,3.109,387.672
244,7,Stone,682.4,1.137,2207.783
245,489,Sapphire,998.0,0.525,2031.267
246,42,Platinum,836.0,3.422,1198.076
247,100,Stone,45.3,1.719,1817.349
248,73,Opal,622.2,2.815,2010.981
249,328,Stone,1422.7,1.844,534.536
250,50,Opal,913.9,0.864,1732.369
251,173,Metal,0.2,1.96,960.867
252,369,Nickel,1268.4,1.227,190.642
253,261,Gold,868.3,3.235,1932.464
254,491,Paper,1135.3,0.785,28.635
255,428,Clay,384.4,1.921,429.91
256,490,Titanium,449.5,0.602,207.952
257,250,Concrete,1063.1,1.565,102.942
258,13,Concrete,533.7,0.628,134.612
259,467,Silver,1326.0,1.77,1410.709
260,56,Opal,1273.1,2.003,1250.834
261,47,Platinum,92.7,2.722,2046.77
262,444,Metal,508.0,0.798,1593.49
263,188,Plastic,487.0,0.11,1575.024
264,389,Bronze,1413.1,2.684,1365.302
265,352,Fiber,741.7,2.331,1531.069
266,247,Paper,619.4,2.405,2045.653
267,108,Silver,230.6,0.631,2126.996
268,412,Leather,517.3,0.121,1233.921
269,119,Concrete,644.0,0.814,681.091
270,296,Ceramic,17.9,3.04,1858.707
271,61,Clay,726.3,1.722,1106.244
272,129,Aluminum,193.8,1.737,1059.747
273,169,Iron,612.9,1.201,1979.568
274,34,Topaz,1194.1,2.448,1987.446
275,337,Aluminum,366.2,1.575,817.448
276,426,Amethyst,634.6,3.396,2217.439
277,112,Concrete,430.1,1.874,1954.958
278,214,Paper,108.5,3.307,1504.975
279,445,Rubber,224.3,1.189,764.077
280,146,Copper,598.4,0.647,517.98
281,18,Copper,1242.0,1.769,1417.967
282,221,Aluminum,831.8,0.721,1406.842
283,69,Plastic,746.9,2.131,2088.565
284,374,Ceramic,607.9,2.968,2104.692
285,274,Stone,1401.3,3.085,1876.364
286,472,Ruby,243.9,3.002,2488.655
287,481,Brass,888.5,2.389,1412.788
288,177,Bronze,1100.1,1.047,1079.548
289,471,Nickel,664.4,1.61,434.256
290,11,Concrete,769.4,3.154,1032.456
291,95,Chrome,128.0,3.088,1970.901
292,387,Carbon,922.9,0.397,1963.425
293,93,Platinum,370.2,0.838,1076.77
294,305,Concrete,955.2,1.264,582.039
295,183,Concrete,1058.4,1.147,1167.887
296,453,Chrome,686.8,1.927,2313.363
297,383,Silver,977.3,2.876,1981.669
298,457,Amethyst,1027.0,2.202,1471.846
299,394,Fabric,637.2,1.418,1209.942
300,164,Glass,1200.8,2.587,460.036
301,413,Fabric,461.5,3.254,2199.08
302,57,Zinc,408.2,3.176,890.061
303,259,Titanium,1254.1,3.334,2417.597
304,138,Glass,485.0,3.408,942.128
305,344,Clay,526.3,1.235,298.998
306,391,Opal,1201.2,2.853,2417.551
307,218,Topaz,1108.2,2.675,361.908
308,222,Wood,642.6,3.375,1576.316
309,103,Diamond,242.3,0.24,1301.509
310,204,Iron,959.6,2.35,2442.359
311,222,Leather,213.9,3.195,2253.46
312,176,Copper,986.8,2.159,1712.785
313,122,Amethyst,906.5,2.988,622.041
314,471,Sapphire,238.6,0.342,2388.16
315,385,Graphite,1075.7,2.329,66.726
316,479,Bronze,409.9,1.25,1485.866
317,163,Zinc,376.0,0.46,1662.574
318,251,Diamond,815.9,2.182,948.185
319,276,Stone,513.3,1.617,1446.167
320,407,Stainless,777.7,0.897,117.916
321,102,Carbon,873.2,3.449,170.044
322,345,Ruby,946.7,3.483,196.054
323,96,Bronze,1249.0,0.079,1406.1
324,192,Pearl,499.7,1.87,932.5
325,83,Quartz,739.3,1.509,150.088
326,207,Copper,507.2,0.295,1198.21
327,41,Concrete,499.6,2.863,1220.806
328,31,Topaz,1150.3,3.275,1348.963
329,482,Fiber,1398.1,0.22,685.109
330,31,Chrome,804.1,3.306,1607.846
331,238,Topaz,87.5,0.586,1431.94
332,290,Topaz,1399.5,1.753,2412.393
333,206,Iron,1404.5,0.315,451.331
334,134,Wood,250.1,2.218,1424.338
335,307,Stone,958.7,2.994,1828.512
336,302,Emerald,674.5,0.614,87.447
337,276,Topaz,1346.1,0.893,1436.233
338,388,Chrome,163.6,1.355,1462.469
339,107,Quartz,302.4,2.924,1959.764
340,24,Clay,893.2,2.369,1991.053
341,446,Gold,1274.6,1.052,85.911
342,430,Ceramic,572.9,0.104,516.406
343,43,Titanium,527.7,2.701,2396.399
344,218,Silver,845.4,2.94,1895.746
345,339,Copper,1121.6,1.499,2117.427
346,265,Leather,1076.0,3.125,2071.739
347,212,Zinc,731.8,2.092,2365.395
348,216,Stainless,52.9,3.485,2083.488
349,489,Concrete,11.5,1.081,1036.138
350,181,Nickel,322.9,0.859,1351.479
351,447,Nickel,920.8,1.798,1103.076
352,440,Bronze,1271.4,0.385,424.614
353,490,Diamond,593.6,1.372,1720.799
354,219,Plastic,296.6,2.496,1552.896
355,116,Stainless,486.9,0.667,565.676
356,315,Diamond,604.3,1.058,1197.454
357,152,Amethyst,373.6,1.96,2172.649
358,461,Bronze,744.3,0.15,1865.001
359,144,Quartz,1144.5,2.363,803.543
360,434,Copper,246.8,0.444,1794.102
361,292,Zinc,316.2,3.425,259.224
362,407,Opal,836.8,0.737,368.211
363,329,Fiber,130.1,1.741,213.621
364,310,Sapphire,574.9,0.054,744.478
365,421,Steel,1237.2,1.989,2210.623
366,122,Bronze,1316.7,2.174,2290.706
367,17,Platinum,1103.6,1.979,2043.094
368,287,Topaz,1254.7,2.894,954.375
369,224,Fabric,853.9,0.657,785.676
370,215,Sapphire,607.2,3.156,1159.678
371,495,Aluminum,260.5,2.698,381.206
372,319,Gold,1300.5,0.237,1967.253
373,111,Silver,554.2,1.16,739.849
374,450,Ruby,101.3,3.151,581.802
375,121,Graphite,1226.9,2.116,1288.206
376,392,Gold,560.9,3.131,1388.343
377,456,Chrome,406.0,1.671,1359.043
378,294,Gold,420.7,2.735,627.741
379,367,Rubber,490.9,3.393,45.739
380,277,Steel,678.9,1.374,1903.841
381,305,Pearl,27.1,0.1,2085.385
382,249,Glass,1421.5,2.595,140.095
383,365,Gold,1040.3,3.37,2117.522
384,226,Stainless,1307.4,0.306,2467.811
385,90,Topaz,1031.1,0.55,1967.849
386,160,Opal,843.1,0.372,2230.788
387,335,Copper,686.8,3.277,2181.177
388,495,Plastic,636.3,1.722,671.426
389,400,Graphite,77.7,2.739,2175.701
390,441,Paper,548.4,1.381,2178.775
391,39,Diamond,675.4,1.798,1890.786
392,310,Opal,750.1,1.721,1207.204
393,124,Wood,927.8,1.607,1922.278
394,69,Carbon,1037.8,0.639,2468.362
395,254,Gold,1293.9,3.271,1095.092
396,142,Emerald,819.7,0.515,83.132
397,296,Pearl,1251.8,2.706,2234.63
398,198,Paper,26.9,3.006,2143.088
399,224,Quartz,1281.5,3.31,2135.049
400,41,Amethyst,236.7,2.438,1937.552
401,32,Platinum,165.2,3.341,2060.442
402,332,Quartz,594.2,0.725,1041.38
403,438,Quartz,811.3,1.871,775.538
404,349,Ceramic,509.0,2.586,1699.504
405,236,Clay,585.6,3.371,993.359
406,489,Rubber,146.4,0.41,1633.797
407,164,Titanium,23.9,0.66,1037.404
408,389,Wood,1267.5,0.037,1394.835
409,313,Wood,342.3,0.249,2222.0
410,302,Copper,633.4,0.124,1900.098
411,105,Ruby,1162.7,3.342,1539.466
412,388,Wood,411.3,0.652,1263.292
413,166,Opal,740.7,2.0,951.24
414,29,Silver,1202.6,1.848,951.503
415,234,Platinum,124.9,1.516,549.957
416,374,Emerald,1218.7,1.898,1588.253
417,387,Platinum,574.4,2.117,794.482
418,400,Opal,604.1,1.943,1097.719
419,388,Aluminum,147.1,2.722,742.431
420,308,Paper,495.7,3.16,305.368
421,229,Titanium,1414.0,2.686,875.164
422,97,Pearl,322.2,0.329,395.371
423,5,Opal,1009.2,1.483,614.146
424,484,Metal,399.7,2.303,1810.162
425,450,Metal,901.3,2.982,838.699
426,257,Copper,910.1,3.499,2334.412
427,281,Bronze,827.6,2.871,612.346
428,286,Stainless,788.7,2.908,1779.324
429,248,Rubber,126.7,0.213,2282.353
430,386,Ruby,861.6,2.17,2479.726
431,473,Fabric,573.0,1.796,2006.632
432,396,Steel,1301.0,2.254,1161.086
433,122,Sapphire,1081.5,1.237,59.137
434,153,Opal,52.5,1.136,1426.338
435,287,Wood,28.7,0.915,222.812
436,295,Emerald,915.3,2.851,2474.742
437,386,Amethyst,819.7,2.861,1014.475
438,3,Bronze,100.8,2.393,746.298
439,154,Silver,350.9,1.829,1783.752
440,203,Fabric,1415.2,1.826,1301.594
441,320,Fiber,574.9,0.784,630.504
442,75,Diamond,1354.2,2.299,1193.055
443,91,Aluminum,258.5,3.156,1294.888
444,80,Steel,1106.2,0.843,636.384
445,365,Zinc,381.6,2.028,1410.477
446,252,Topaz,1380.7,3.478,485.19
447,235,Paper,1086.4,2.512,352.295
448,350,Nickel,1241.4,1.916,263.678
449,138,Concrete,1279.0,1.924,1048.174
450,469,Stone,1349.0,1.367,2147.881
451,260,Gold,460.4,0.08,1315.777
452,161,Nickel,486.9,2.428,2170.757
453,43,Sapphire,220.6,2.777,2493.749
454,21,Aluminum,445.7,1.568,1782.621
455,267,Wood,764.2,1.151,216.88
456,96,Stone,218.8,2.768,2037.096
457,189,Iron,1299.9,2.617,1850.579
458,4,Brass,973.4,2.29,1005.594
459,159,Paper,5.8,0.245,2200.553
460,126,Gold,926.4,2.771,958.701
461,228,Wood,315.1,1.691,1093.684
462,192,Leather,753.8,2.33,2299.347
463,117,Ceramic,1307.9,2.439,186.806
464,28,Amethyst,1255.7,2.191,969.448
465,398,Bronze,210.7,1.361,1529.242
466,374,Topaz,1379.4,3.44,911.146
467,18,Sapphire,736.7,0.66,58.43
468,344,Chrome,110.1,0.663,1963.515
469,488,Silver,129.4,2.506,1089.957
470,398,Metal,804.7,2.605,2357.627
471,163,Brass,607.0,2.385,2251.797
472,316,Diamond,362.2,1.942,1474.612
473,162,Titanium,459.2,1.045,1396.607
474,22,Chrome,891.8,0.582,1178.001
475,131,Opal,1292.1,2.046,243.932
476,4,Plastic,161.3,0.5,147.011
477,240,Stainless,186.8,2.578,57.643
478,254,Leather,109.3,2.945,792.171
479,468,Ceramic,222.1,2.847,1556.237
480,327,Fabric,369.1,3.068,956.711
481,248,Graphite,1093.0,2.523,651.55
482,489,Sapphire,1166.3,1.288,487.008
483,208,Fabric,1147.9,3.232,1560.002
484,352,Silver,458.4,2.214,360.915
485,419,Diamond,1136.1,3.142,56.706
486,264,Glass,759.2,1.177,1223.249
487,54,Glass,1194.7,2.33,349.184
488,79,Chrome,547.5,0.807,2226.276
489,26,Emerald,1334.1,0.397,783.275
490,307,Quartz,240.8,0.942,1613.093
491,457,Diamond,1252.5,2.469,2304.662
492,343,Silver,1193.0,1.406,2423.456
493,450,Platinum,854.3,2.959,2249.833
494,197,Diamond,1280.6,2.802,2082.819
495,19,Titanium,586.4,1.428,2055.864
496,49,Pearl,398.2,2.462,2427.734
497,11,Sapphire,1187.1,3.022,1852.163
498,403,Titanium,1015.8,2.59,991.434
499,212,Zinc,1044.8,2.475,1569.287
500,412,Aluminum,719.4,1.788,1998.244
501,330,Concrete,85.5,0.03,1319.956
502,410,Quartz,1386.7,3.47,2420.454
503,486,Zinc,1186.3,2.685,2189.61
504,3,Clay,852.9,1.261,1055.659
505,436,Chrome,216.7,0.107,1966.05
506,253,Concrete,266.9,2.805,1806.323
507,256,Fiber,51.1,2.801,1714.115
508,369,Stainless,1309.0,3.204,1192.493
509,215,Emerald,1343.3,3.177,163.761
510,20,Concrete,1095.5,0.872,30.169
511,3,Nickel,463.5,1.734,1672.13
512,496,Brass,1101.0,1.738,467.68
513,55,Silver,395.9,0.985,497.481
514,106,Zinc,874.4,0.366,2123.812
515,192,Zinc,544.2,3.156,455.43
516,199,Ceramic,197.6,1.52,2185.094
517,67,Emerald,332.4,0.521,2445.27
518,420,Iron,655.3,2.974,292.69
519,71,Bronze,436.8,1.54,169.063
520,307,Ruby,1252.8,1.275,59.12
521,46,Opal,1358.6,0.184,1596.565
522,269,Carbon,1113.8,1.227,36.443
523,309,Bronze,158.9,3.235,1783.19
524,44,Clay,42.3,2.231,1192.051
525,69,Fiber,806.1,0.409,1991.069
526,242,Silver,537.4,0.215,2493.139
527,429,Paper,446.0,2.547,1109.592
528,307,Gold,949.5,1.105,2398.567
529,370,Chrome,1033.7,1.081,449.399
530,260,Silver,386.2,0.034,326.466
531,273,Copper,604.3,3.118,824.375
532,290,Plastic,228.3,2.24,1438.616
533,26,Platinum,1057.3,2.067,1833.09
534,220,Iron,968.4,0.997,2265.155
535,447,Quartz,1310.7,2.302,1095.873
536,442,Opal,277.9,2.296,1.557
537,476,Carbon,515.8,3.429,785.861
538,441,Chrome,738.1,3.329,398.491
539,290,Graphite,111.8,0.423,1318.588
540,72,Silver,759.8,2.414,2457.831
541,62,Gold,958.9,0.384,401.944
542,324,Ruby,339.9,1.4,1352.705
543,426,Opal,438.9,0.199,2386.13
544,327,Rubber,84.2,1.598,1447.752
545,354,Titanium,686.2,1.991,724.115
546,7,Stone,1386.7,0.777,463.69
547,53,Diamond,526.3,3.44,1170.604
548,368,Leather,577.3,2.796,2316.459
549,257,Diamond,378.6,0.166,2329.548
550,242,Clay,308.6,1.463,2354.549
551,140,Chrome,164.1,0.103,186.119
552,448,Steel,241.1,2.266,2075.027
553,241,Graphite,833.0,0.098,1601.638
554,403,Zinc,742.5,1.895,1262.57
555,17,Chrome,52.0,1.276,2144.742
556,419,Pearl,1162.0,1.941,360.925
557,230,Nickel,735.5,1.379,982.856
558,123,Fiber,393.2,0.43,1006.888
559,104,Platinum,562.3,0.529,401.907
560,116,Gold,367.0,1.246,455.657
561,492,Titanium,1226.1,3.441,1168.081
562,487,Gold,966.4,3.219,503.126
563,255,Clay,837.2,3.399,1737.772
564,44,Platinum,986.0,0.407,586.88
565,481,Fabric,1035.5,1.101,118.722
566,366,Chrome,1381.4,1.497,1024.108
567,157,Concrete,254.9,2.19,1218.881
568,302,Ceramic,952.4,0.117,1338.109
569,256,Topaz,560.6,2.089,2347.985
570,394,Platinum,54.1,2.669,1220.574
571,12,Carbon,877.2,2.754,1775.515
572,171,Brass,235.9,0.287,1891.398
573,206,Fiber,241.5,3.091,970.01
574,433,Diamond,752.8,2.882,1846.755
575,321,Diamond,1359.9,2.632,1517.869
576,52,Concrete,206.7,2.111,1742.406
577,496,Chrome,1284.1,3.446,1530.789
578,104,Bronze,866.6,1.997,765.299
579,456,Diamond,224.1,2.445,868.786
580,3,Titanium,521.7,2.615,1435.106
581,16,Clay,817.9,3.313,835.131
582,153,Quartz,1262.2,0.022,1599.066
583,135,Rubber,668.1,0.545,1793.097
584,225,Wood,999.3,2.748,251.649
585,283,Steel,593.2,0.334,2352.761
586,155,Nickel,1059.6,0.29,1452.456
587,496,Topaz,890.7,1.231,49.316
588,217,Brass,868.0,0.93,1448.595
589,172,Topaz,11.6,1.469,79.447
590,136,Aluminum,1332.7,2.119,626.979
591,365,Rubber,1420.1,2.285,1507.321
592,223,Stainless,1255.9,1.933,2173.544
593,397,Amethyst,267.5,2.681,1049.523
594,157,Diamond,413.8,0.381,411.172
595,224,Graphite,96.4,1.094,903.001
596,12,Ruby,33.6,2.308,1012.1
597,79,Chrome,1236.0,3.388,1094.813
598,8,Paper,520.5,1.348,1968.366
599,425,Copper,36.1,0.25,1842.248
600,200,Ceramic,1258.0,0.647,997.846
601,65,Zinc,1314.4,0.837,1824.886
602,42,Rubber,582.8,0.662,1066.655
603,50,Copper,193.0,3.042,2018.716
604,223,Clay,1233.1,2.722,513.271
605,406,Topaz,216.7,0.877,105.83
606,477,Metal,599.8,2.105,1774.855
607,152,Plastic,634.8,2.991,2101.723
608,277,Iron,366.2,1.787,785.336
609,93,Platinum,364.3,0.46,932.696
610,68,Steel,1177.4,3.185,1998.397
611,382,Concrete,17.2,1.897,401.291
612,402,Brass,232.7,0.83,86.507
613,78,Stone,218.3,0.558,859.674
614,107,Wood,1292.0,1.792,425.502
615,86,Stone,1276.1,2.598,312.109
616,386,Titanium,1333.4,0.047,2320.564
617,473,Leather,415.7,1.824,727.422
618,184,Bronze,1183.8,1.019,447.267
619,240,Gold,1294.5,3.209,1625.719
620,312,Aluminum,45.2,1.525,2494.116
621,71,Metal,291.4,0.112,415.417
622,101,Leather,1330.3,0.929,1603.924
623,77,Ceramic,1325.7,1.831,1342.273
624,293,Ruby,919.2,3.2,865.643
625,370,Sapphire,1222.5,1.441,2305.344
626,328,Brass,909.4,0.337,116.142
627,190,Stainless,234.0,1.733,45.765
628,457,Gold,913.6,0.704,385.33
629,57,Silver,1190.7,3.304,1289.41
630,411,Opal,1036.6,2.109,534.083
631,221,Iron,290.8,0.147,1857.885
632,479,Glass,1212.2,2.209,386.388
633,296,Nickel,465.5,0.2,777.111
634,305,Copper,244.2,1.457,787.349
635,278,Titanium,309.3,3.035,648.671
636,277,Silver,426.0,2.851,343.208
637,49,Ruby,690.0,0.329,485.49
638,253,Paper,1063.0,2.132,1580.258
639,391,Copper,454.7,1.967,1358.717
640,445,Quartz,109.6,3.12,1191.687
641,154,Bronze,1010.3,0.943,1507.684
642,347,Quartz,1237.6,2.976,1072.678
643,341,Zinc,383.1,0.619,2096.595
644,362,Plastic,1360.6,2.112,622.229
